Team;Position;Week Number;Date;Season;Match Type;GPS System;Opponent;Starting Minute;Player Name;Duration;Total Distance;HSRD > 20;HSRD > 25;HSRD > 30;HSRE > 20;HSRE > 25;HSRE > 30;Maximum Velocity (km/h);Acceleration Efforts > 2 m/s/s;Deceleration Efforts < -2 m/s/s;Acceleration Efforts > 3 m/s/s;Deceleration Efforts < -3 m/s/s;Acceleration Efforts > 4 m/s/s;Deceleration Efforts < -4 m/s/s;Playerload 3D;Explosive Efforts;EMD;HMPE;HMLD;DISTANCE Z1;DISTANCE Z2;Repeat sprint efforts;HR Z1;HR Z2;HR Z3;HR Z4;HR Z5;HR >85%;HR TRIMPs;HR AVERAGE;HR MAX;Playerload 2D;Entries Z3;Helft
1;DCR;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Augustin Drakpe;46;5394;340;29;0;21;2;0;29;56;54;12;17;1;2;586;14;6220;186;418;;;;;;;;;;;;;;;1
1;DCR;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Augustin Drakpe;28;3027;193;37;0;15;3;0;29;36;37;8;14;2;4;313;7;3522;106;262;;;;;;;;;;;;;;;1
1;DWL;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Chiel Olde Keizer;46;5653;412;145;0;22;7;0;29;64;80;9;29;0;6;506;19;6663;195;546;;;;;;;;;;;;;;;1
1;DWL;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Chiel Olde Keizer;12;1202;98;0;0;8;0;0;25;14;17;4;5;1;2;115;5;1426;39;114;;;;;;;;;;;;;;;2
1;MD;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Daniel van Vianen;46;6110;683;41;0;38;3;0;27;59;70;13;19;0;1;581;7;7060;241;711;;;;;;;;;;;;;;;2
1;MD;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Daniel van Vianen;49;5433;392;28;0;24;2;0;26;64;79;12;18;1;2;530;20;6289;197;483;;;;;;;;;;;;;;;2
1;;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Devin Haen;46;5738;595;54;0;28;2;0;29;57;61;16;17;0;6;599;13;6562;190;593;;;;;;;;;;;;;;;2
1;;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Devin Haen;49;5084;368;44;0;22;2;0;28;48;46;18;12;0;4;525;16;5787;145;425;;;;;;;;;;;;;;;1
1;M;27;10-03-25;2024-2025;Competition;10;SC Cambuur;1;Gabriele Parlanti;46;5953;534;78;8;26;5;0;30;55;69;14;24;1;3;590;22;6845;191;524;;;;;;;;;;;;;;;2
1;M;27;10-03-25;2024-2025;Competition;10;SC Cambuur;46;Gabriele Parlanti;28;3323;262;53;0;12;2;0;30;38;38;11;10;1;6;317;9;3822;96;316;;;;;;;;;;;;;;;2
